,用户码,用户名称,景区码,景区名称
2,6781,尤尤8803,6,颐和园
13,1665,Miss-Isabel,12,南锣鼓巷
14,1665,Miss-Isabel,0,故宫
22,3429,春风沉醉的夜...,60,黄花城水长城
23,3429,春风沉醉的夜...,50,明十三陵
24,3429,春风沉醉的夜...,4,八达岭长城
25,3429,春风沉醉的夜...,10037,钟鼓楼
26,3429,春风沉醉的夜...,9,恭王府
27,3429,春风沉醉的夜...,23,天坛
29,263,pinkvalent,18,北京野生动物园
30,263,pinkvalent,55,王府井
31,263,pinkvalent,0,故宫
42,1469,太空精灵儿,10,中国国家博物馆
43,1469,太空精灵儿,0,故宫
46,1723,簋财神,1,古北水镇
50,6134,cecilia汪汪,55,王府井
53,6134,cecilia汪汪,12,南锣鼓巷
54,6134,cecilia汪汪,4,八达岭长城
55,6134,cecilia汪汪,6,颐和园
56,6134,cecilia汪汪,20,圆明园
57,6134,cecilia汪汪,5,天安门广场
58,4745,徐菲闹,18,北京野生动物园
59,4745,徐菲闹,46,毛主席纪念堂
61,4745,徐菲闹,35,北京自然博物馆
63,4745,徐菲闹,2218,北海公园
64,6882,梁lsh,6062,园博园
67,4594,maggie85561,5,天安门广场
68,4594,maggie85561,2854,回音壁
70,4594,maggie85561,23,天坛
71,4594,maggie85561,0,故宫
72,4594,maggie85561,6153,景山公园
75,4594,maggie85561,9,恭王府
77,5120,六六壹,21,什刹海
80,5120,六六壹,12,南锣鼓巷
81,5120,六六壹,53,烟袋斜街
83,551,暗夜无价,74,北京大学
84,551,暗夜无价,3358,奥林匹克公园
85,551,暗夜无价,31,清华大学
86,551,暗夜无价,53,烟袋斜街
87,551,暗夜无价,20,圆明园
88,551,暗夜无价,4,八达岭长城
89,6023,fnmk8502,4,八达岭长城
90,6023,fnmk8502,0,故宫
92,6023,fnmk8502,5,天安门广场
94,6023,fnmk8502,55,王府井
96,6023,fnmk8502,25,慕田峪长城
110,5167,udjj4788,25,慕田峪长城
112,5167,udjj4788,50,明十三陵
113,5167,udjj4788,20,圆明园
115,2690,烂烂的布头,0,故宫
116,2690,烂烂的布头,34,香山公园
118,544,姚小白少校,7948,灵山
122,1870,爱旅游用户0,74,北京大学
125,2763,奔跑的小东东,3,北京平谷金海湖
128,4161,佳音7799,0,故宫
130,4161,佳音7799,6,颐和园
137,433,小砖头UP,17,三里屯
142,7000,左左xians,71,张裕爱斐堡国际酒庄
143,7000,左左xians,59,司马台长城
144,1431,三面体,70,奥林匹克森林公园
148,1431,三面体,17,三里屯
154,4872,爱旅游用户1,0,故宫
157,4872,爱旅游用户1,5,天安门广场
158,4872,爱旅游用户1,10702,中山公园
159,3786,爱旅游用户2,34,香山公园
160,3786,爱旅游用户2,0,故宫
166,6280,冬尽了csx,6,颐和园
167,6280,冬尽了csx,0,故宫
168,859,爱旅游用户3,43,箭扣长城
169,6018,爱旅游用户4,12,南锣鼓巷
170,6018,爱旅游用户4,17,三里屯
174,4772,三面吊脚楼,34,香山公园
177,6905,可爱大熊,0,故宫
178,6905,可爱大熊,6153,景山公园
179,6905,可爱大熊,34,香山公园
180,6905,可爱大熊,2218,北海公园
190,799,紫檀葫芦,12,南锣鼓巷
195,6882,梁lsh,51,北京动物园
196,6882,梁lsh,47,北京海洋馆
199,7012,青春河边巢,1,古北水镇
200,1288,兔只Genie,59,司马台长城
210,6129,Angelfwc,19,前门大街
219,6882,梁lsh,20,圆明园
221,1809,娜黛,10098,白塔寺
225,1783,木白木易,46,毛主席纪念堂
226,1783,木白木易,6,颐和园
228,1783,木白木易,74,北京大学
230,1809,娜黛,6,颐和园
234,1809,娜黛,6153,景山公园
235,1809,娜黛,0,故宫
246,2922,爱旅游用户7,6403,孔庙
248,2922,爱旅游用户7,49,五道营胡同
250,4477,Linda小树林,9,恭王府
251,4477,Linda小树林,0,故宫
255,3050,深蓝骆驼,5,天安门广场
256,3050,深蓝骆驼,19,前门大街
258,3050,深蓝骆驼,10,中国国家博物馆
259,3050,深蓝骆驼,46,毛主席纪念堂
262,4273,fxli5038,74,北京大学
263,4273,fxli5038,31,清华大学
266,3363,爱旅游用户10,74,北京大学
268,3363,爱旅游用户10,31,清华大学
270,3363,爱旅游用户10,20,圆明园
274,1536,黑皮崽崽,0,故宫
282,1044,Gina1231,0,故宫
283,1044,Gina1231,6,颐和园
285,3597,柠_檬_不酸,3,北京平谷金海湖
288,4182,傲儿君,23,天坛
291,4182,傲儿君,0,故宫
293,6882,梁lsh,6,颐和园
297,4401,karenluna在...,7790,黑龙潭
299,4401,karenluna在...,7193,湖心岛
300,155,爱旅游用户11,34,香山公园
304,6882,梁lsh,34,香山公园
316,1595,与岛无缘,2218,北海公园
317,1595,与岛无缘,9,恭王府
320,1595,与岛无缘,4353,九龙壁
